Code,Sub-Competency,Level 1,Level 2,Level 3,Level 4,Level 5,EPA1,EPA2,EPA3,EPA4,EPA5,EPA6,EPA7,EPA8,EPA9,EPA10,EPA11,EPA12,EPA13,EPA14,EPA15,EPA16,EPA17,EPA18,EPA19,EPA20,EPA21,EPA22
PC1,Patient Care 1: Emergency Stabilization,Detects when a patient’s vital signs are abnormal; assesses ABCs and performs basic interventions,Identifies a patient who is unstable and requires immediate intervention; addresses unstable vital signs and initiates advanced resuscitation,Identifies occult presentations at risk for instability; reassesses after interventions,Ascertains futility of interventions; integrates hospital support services in management,Manages rare/complex presentations requiring stabilization,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
PC2,Patient Care 2: Performance of a Focused History and Physical Exam,Elicits/communicates reliable comprehensive history and physical,Focused history/PE that addresses chief complaint & urgent issues,Prioritizes essential components in limited/dynamic circumstances,Uses all potential sources of data for beneficial management,Models effective use of H&P to minimize diagnostic testing,1,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
PC3,Patient Care 3: Diagnostic Studies,Determines need for diagnostic studies; understands testing principles,"Selects appropriate studies, reviews risks/benefits; interprets results (EKG, imaging, POCUS)",Prioritizes essential studies in limited/dynamic situations; orders with pre-test probability in mind,Practices cost-effective ordering; considers post-test probability,Proposes alternatives when barriers exist; discriminates subtle/conflicting results,0,1,0,0,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0
PC4,Patient Care 4: Diagnosis,Constructs list of potential diagnoses from chief complaint/initial assessment,Provides prioritized differential,Provides diagnosis for common conditions; modifies with clinical course/data,Provides diagnosis for multiple comorbidities/uncommon conditions; recognizes reasoning errors,Serves as role model/educator in deriving diagnoses & recognizing errors,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PC5,Patient Care 5: Pharmacotherapy,Describes drug classifications; asks about allergies,Selects appropriate therapeutic agent; evaluates for adverse effects/interactions,Considers array of therapy based on mechanism/intended effect; recognizes common adverse effects,"Selects agents considering patient preferences, allergies, cost, policy, guidelines; recognizes uncommon adverse effects",Participates in departmental/institutional policy on pharmacy/therapeutics,1,0,0,0,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,0,0
PC6,Patient Care 6: Reassessment and Disposition,"Describes resources, basic patient education; identifies need for re-eval",Makes disposition for routine conditions needing minimal resources; educates on simple discharge/admission; monitors interventions,"Makes dispo for routine conditions with resource utilization; educates on diagnosis, plan, meds, follow-up; identifies need for ongoing ED evaluation",Makes dispo for complex conditions; educates on complex plans/transfers; evaluates changes in clinical status,Participates in institutional committees/protocol development to enhance safe dispo,0,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0
PC7,Patient Care 7: Multitasking (Task Switching),Manages single patient amidst distractions,Task-switches between patients of similar acuity,Task-switches efficiently to manage multiple patients of varying acuity/work-up stage,Task-switches efficiently to manage the ED,Task-switches efficiently under surge/high volume,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
PC8,Patient Care 8: General Approach to Procedures,"Identifies indications and anatomy/physiology; performs basic procedures (suturing, splinting)","Assesses indications, risks/benefits, obtains consent in low–moderate risk; performs/interprets basic procedures with assistance; recognizes common complications",Assesses risks/benefits in high-risk situations; performs/interprets advanced procedures with guidance; manages common complications,Mitigates modifiable risk factors; independently performs/interprets advanced procedures; manages uncommon complications,"Teaches advanced procedures; independently performs rare, time-sensitive procedures; participates in peer review",0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
MK1,Medical Knowledge 1: Scientific Knowledge,Demonstrates scientific knowledge of common presentations and conditions,Demonstrates scientific knowledge of complex presentations and conditions,Integrates knowledge of comorbid conditions for complex presentations,Integrates knowledge of uncommon/atypical/complex comorbid conditions,Pursues and integrates new and emerging knowledge,0,1,1,1,1,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0
MK2,Medical Knowledge 2: Treatment and Clinical Reasoning,Knowledge of treatment for common conditions; identifies reasoning errors with substantial guidance,Knowledge of treatment for complex conditions; identifies reasoning errors,Knowledge of impact of patient factors; retrospectively identifies cognitive errors,Comprehensive knowledge of varying presentations and treatments; re-appraises reasoning prospectively,Contributes to body of knowledge on disease patterns/treatments; coaches others to avoid cognitive errors,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,1,0,0,0
SBP1,Systems-Based Practice 1: Patient Safety,Knowledge of common patient safety events; knowledge of reporting,Identifies system factors; reports safety events through institutional systems,Participates in analysis of events; participates in disclosure to patients/families,Conducts analysis and offers prevention strategies; discloses to patients/families,Engages teams/processes to modify systems; role models/mentors in disclosure,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
SBP2,Systems-Based Practice 2: Quality Improvement,Knowledge of QI methodologies/metrics,Describes local QI initiatives,Participates in local QI initiatives,Demonstrates skills in developing/implementing/analyzing a QI project,"Creates, implements, assesses QI initiatives at institutional/community level",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
SBP3,Systems-Based Practice 3: System Navigation for Patient-Centered Care,"Knowledge of care coordination, transitions of care, and population/community needs",Coordinates care in routine situations; enables safe transitions; identifies local population needs,Coordinates care in complex situations; enables complex transitions; uses local resources,Role models coordination of care; advocates for transitions; adapts practice to population needs,Analyzes/improves care coordination; leads innovations; advocates for populations/communities,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
